Datum;Buchungstext;Betrag;Kontostand
10.01.2026;Überweisung TechBau AG - Beratung Dezember 2025;1800,00;7650,00
13.01.2026;Überweisung K. Müller - Webseite Redesign;2400,00;10050,00
15.01.2026;Adobe Creative Cloud Abo;-59,99;9990,01
18.01.2026;Überweisung Schmidt und Partner - Logo Überarbeitung;850,00;10840,01
20.01.2026;Slack Technologies Ireland;-12,50;10827,51
22.01.2026;Überweisung Yılmaz Danışmanlık - Rechnung Nov 2025;950,00;11777,51
25.01.2026;Kontoführungsgebühr Januar 2026;-8,50;11769,01
28.01.2026;Eingang Überweisung Ref. 2024-123;400,00;12169,01
31.01.2026;Überweisung Bauer Immobilien GmbH - Präsentation Jan;1200,00;13369,01
03.02.2026;Fiverr Auszahlung Januar;285,00;13654,01
05.02.2026;Überweisung S. Arslan Grafik - Paket Basic;650,00;14304,01
08.02.2026;Notion Business Plan;-16,00;14288,01
10.02.2026;Überweisung Innovate GmbH - App UI Anzahlung;1600,00;15888,01
12.02.2026;Überweisung Weber Consulting - Workshop Feb;750,00;16638,01
